location_name,Location_Category_Description,LATITUDE,LONGITUDE
J.H.S. 201 The Dyker Heights,Junior High-Intermediate-Middle,40.619043,-74.013749
P.S. 202 Ernest S. Jenkyns,Elementary,40.665817,-73.876084
P.S. 203 Floyd Bennett School,Elementary,40.622108,-73.925732
P.S. 204 Vince Lombardi,Elementary,40.613535,-74.006137
P.S. 205 Clarion,Elementary,40.614737,-73.986792
P.S. 206 Joseph F Lamb,K-8,40.596876,-73.948453
P.S. 207 Elizabeth G. Leary,K-8,40.613981,-73.930485
P.S. 208 Elsa Ebeling,Elementary,40.6427,-73.930898
P.S. 209 Margaret Mead,K-8,40.5868,-73.961191
I.S. 211 John Wilson,Junior High-Intermediate-Middle,40.642931,-73.895224
P.S. 212 Lady Deborah Moody,Elementary,40.587612,-73.985368
P.S. 213 New Lots,Elementary,40.659845,-73.889968
P.S. 214 Michael Friedsam,Elementary,40.675881,-73.862961
P.S. 215 Morris H. Weiss,Elementary,40.602722,-73.970171
P.S. 216 Arturo Toscanini,Elementary,40.59,-73.969647
P.S. 217 Colonel David Marcus School,Elementary,40.633482,-73.966442
J.H.S. 218 James P. Sinnott,Junior High-Intermediate-Middle,40.67002,-73.874537
P.S. 219 Kennedy-King,Elementary,40.658834,-73.922296
J.H.S. 220 John J. Pershing,Junior High-Intermediate-Middle,40.640997,-74.00125
P.S. 221 Toussaint L'Ouverture,Elementary,40.663964,-73.935753
P.S. 222 Katherine R. Snyder,Elementary,40.614005,-73.939205
J.H.S. 223 The Montauk,Junior High-Intermediate-Middle,40.6351,-73.982424
P.S. 224 Hale A. Woodruff,Elementary,40.664143,-73.866542
P.S. K225 - The Eileen E. Zaglin,K-8,40.58026,-73.955856
P.S. 226 Alfred De B. Mason,K-8,40.615405,-73.977099
J.H.S. 227 Edward B. Shallow,Junior High-Intermediate-Middle,40.622102,-73.995961
I.S. 228 David A. Boody,Junior High-Intermediate-Middle,40.60066,-73.976801
P.S. 229 Dyker,K-8,40.610331,-74.013585
P.S. 230 Doris L. Cohen,Elementary,40.645609,-73.980515
P.S. K231,K-8,40.626454,-73.98925
I.S. 232 The Winthrop,Junior High-Intermediate-Middle,40.6584,-73.929
P.S. 233 Langston Hughes,Elementary,40.651642,-73.914282
Lafayette High School,High school,40.593028,-73.986313
J.H.S. 234 Arthur W. Cunningham,Junior High-Intermediate-Middle,40.604447,-73.955217
P.S. 235 Janice Marie Knight School,K-8,40.655337,-73.940922
P.S. 236 Mill Basin,Elementary,40.615494,-73.912005
P.S. 238 Anne Sullivan,K-8,40.608801,-73.964586
Mark Twain I.S. 239 for the Gifted & Talented,Junior High-Intermediate-Middle,40.57864,-73.992447
Andries Hudde,Junior High-Intermediate-Middle,40.623788,-73.946836
P.S. 241 Emma L. Johnston,Elementary,40.668913,-73.960924
P.S. 243K- The Weeksville School,Elementary,40.675675,-73.935093
P.S. 244 Richard R. Green,Elementary,40.647851,-73.925592
P.S. 245,Elementary,40.644927,-73.962743
M.S. 246 Walt Whitman,Junior High-Intermediate-Middle,40.648352,-73.95348
P.S. 247 Brooklyn,Elementary,40.612247000000004,-73.987195
P.S. 249 The Caton,Elementary,40.649509,-73.966456
P.S. 250 George H. Lindsay,Elementary,40.706708,-73.945659
HS Of Redirection,High school,40.6659,-73.9117
P.S. 251 Paerdegat,Elementary,40.63195,-73.923894
I.S. 252 Arthur S. Somers,Junior High-Intermediate-Middle,40.6583,-73.9201
P.S. 253,Elementary,40.580237,-73.961962
